x,y,z
7.98639727e-01,-2.29013777e-02,0.0
8.08594332e-01,-2.47857060e-02,0.0
8.18548584e-01,-2.67266777e-02,0.0
8.28502272e-01,-2.87230349e-02,0.0
8.38455187e-01,-3.07734498e-02,0.0
8.48407426e-01,-3.28765459e-02,0.0
8.58358689e-01,-3.50308588e-02,0.0
8.68308884e-01,-3.72348681e-02,0.0
8.78258218e-01,-3.94870147e-02,0.0
8.88206406e-01,-4.17856546e-02,0.0
8.98153666e-01,-4.41291089e-02,0.0
9.08100021e-01,-4.65156150e-02,0.0
9.18045397e-01,-4.89433532e-02,0.0
9.27990124e-01,-5.14104720e-02,0.0
9.37934138e-01,-5.39150324e-02,0.0
9.47877777e-01,-5.64550569e-02,0.0
9.57821184e-01,-5.90285037e-02,0.0
9.67764606e-01,-6.16332749e-02,0.0
9.77708194e-01,-6.42672057e-02,0.0
9.87652304e-01,-6.69280895e-02,0.0
9.95484840e-01,-6.90432079e-02,0.0
1.46588095e+00,-4.06127320e-01,0.0
1.46167532e+00,-4.02358530e-01,0.0
1.45632608e+00,-3.97588662e-01,0.0
1.45096720e+00,-3.92834133e-01,0.0
1.44559871e+00,-3.88095181e-01,0.0
1.44022053e+00,-3.83371980e-01,0.0
1.43483263e+00,-3.78664751e-01,0.0
1.42943491e+00,-3.73973680e-01,0.0
1.42402740e+00,-3.69299024e-01,0.0
1.41860987e+00,-3.64640921e-01,0.0
1.41318234e+00,-3.59999634e-01,0.0
1.40774459e+00,-3.55375311e-01,0.0
1.40229643e+00,-3.50768145e-01,0.0
1.39683783e+00,-3.46178376e-01,0.0
1.39136842e+00,-3.41606119e-01,0.0
1.38588813e+00,-3.37051637e-01,0.0
1.38039672e+00,-3.32515106e-01,0.0
1.37489382e+00,-3.27996654e-01,0.0
1.36937928e+00,-3.23496543e-01,0.0
1.36385280e+00,-3.19014936e-01,0.0
1.35831405e+00,-3.14552025e-01,0.0
1.35276268e+00,-3.10107995e-01,0.0
1.34719837e+00,-3.05683041e-01,0.0
1.34162084e+00,-3.01277416e-01,0.0
1.33602961e+00,-2.96891270e-01,0.0
1.33042440e+00,-2.92524863e-01,0.0
1.32480471e+00,-2.88178388e-01,0.0
1.31917020e+00,-2.83852087e-01,0.0
1.31352035e+00,-2.79546177e-01,0.0
1.30785480e+00,-2.75260932e-01,0.0
1.30217309e+00,-2.70996613e-01,0.0
1.29647471e+00,-2.66753468e-01,0.0
1.29075927e+00,-2.62531820e-01,0.0
1.28502622e+00,-2.58331943e-01,0.0
1.27927511e+00,-2.54154154e-01,0.0
1.27350550e+00,-2.49998814e-01,0.0
1.26771678e+00,-2.45866220e-01,0.0
1.26190857e+00,-2.41756798e-01,0.0
1.25608025e+00,-2.37670868e-01,0.0
1.25023148e+00,-2.33608913e-01,0.0
1.24436170e+00,-2.29571318e-01,0.0
1.23847035e+00,-2.25558518e-01,0.0
1.23255708e+00,-2.21571056e-01,0.0
1.22662137e+00,-2.17609381e-01,0.0
1.22066269e+00,-2.13674017e-01,0.0
1.21468063e+00,-2.09765512e-01,0.0
1.20867480e+00,-2.05884478e-01,0.0
1.20264472e+00,-2.02031515e-01,0.0
1.19659002e+00,-1.98207246e-01,0.0
1.19051021e+00,-1.94412309e-01,0.0
1.18440499e+00,-1.90647439e-01,0.0
1.17827401e+00,-1.86913351e-01,0.0
1.17211689e+00,-1.83210786e-01,0.0
1.16593336e+00,-1.79540570e-01,0.0
1.15972305e+00,-1.75903472e-01,0.0
1.15348574e+00,-1.72300373e-01,0.0
1.14722121e+00,-1.68732181e-01,0.0
