x;y;z
105.658.899;-0.12303962;0.0
104.990.614;-0.12013137;0.0
104.319.610;-0.11727876;0.0
103.645.902;-0.11448364;0.0
102.969.522;-0.11174804;0.0
102.290.493;-0.10907411;0.0
101.608.844;-0.10646409;0.0
100.924.606;-0.10392048;0.0
100.237.810;-0.10144590;0.0
0.99548484;-0.09904321;0.0
0.98856659;-0.09671554;0.0
0.98162364;-0.09446631;0.0
0.97465623;-0.09229929;0.0
0.96766462;-0.09021872;0.0
0.96064903;-0.08822933;0.0
0.95360955;-0.08633648;0.0
0.94654624;-0.08454630;0.0
0.93945900;-0.08286594;0.0
0.93234767;-0.08130378;0.0
0.92521177;-0.07986982;0.0
0.91805067;-0.07857626;0.0
0.91086325;-0.07743819;0.0
0.90364787;-0.07647486;0.0
0.89640209;-0.07571146;0.0
0.88912219;-0.07518237;0.0
0.88180240;-0.07493667;0.0
0.87443331;-0.07504934;0.0
0.86699829;-0.07564599;0.0
0.85946367;-0.07697074;0.0
0.85443608;-0.07843951;0.0
0.85040723;-0.08041338;0.0
0.84727940;-0.08284291;0.0
0.84495483;-0.08567867;0.0
0.84333578;-0.08887123;0.0
0.84237692;-0.09239767;0.0
0.84287587;-0.09666136;0.0
0.84631056;-0.10240973;0.0
0.85417831;-0.11040001;0.0
0.86059146;-0.11516678;0.0
0.86708426;-0.11924490;0.0
0.87362231;-0.12287993;0.0
0.88018827;-0.12619888;0.0
0.88677206;-0.12927807;0.0
0.89336723;-0.13216793;0.0
0.89996942;-0.13490413;0.0
0.90657549;-0.13751313;0.0
0.91318322;-0.14001539;0.0
0.91979087;-0.14242724;0.0
0.92639723;-0.14476205;0.0
0.93300125;-0.14703094;0.0
0.93960218;-0.14924341;0.0
0.94619940;-0.15140768;0.0
0.95279243;-0.15353093;0.0
0.95938086;-0.15561953;0.0
0.96596439;-0.15767919;0.0
0.97254283;-0.15971510;0.0
0.97911593;-0.16173194;0.0
0.98568355;-0.16373403;0.0
0.99224556;-0.16572535;0.0
0.99880183;-0.16770956;0.0
100.535.226;-0.16969010;0.0
101.189.680;-0.17167021;0.0
101.843.534;-0.17365286;0.0
102.496.778;-0.17564090;0.0
103.149.411;-0.17763702;0.0
103.801.414;-0.17964370;0.0
104.452.779;-0.18166332;0.0
105.103.506;-0.18369820;0.0
105.753.574;-0.18575045;0.0
106.402.973;-0.18782212;0.0
107.051.693;-0.18991515;0.0
107.699.718;-0.19203137;0.0
108.347.030;-0.19417254;0.0
108.993.616;-0.19634033;0.0
109.639.452;-0.19853628;0.0
110.284.518;-0.20076190;0.0
110.928.801;-0.20301864;0.0
111.572.269;-0.20530780;0.0
112.214.903;-0.20763066;0.0
112.856.675;-0.20998841;0.0
113.497.559;-0.21238218;0.0
114.137.526;-0.21481299;0.0
114.776.550;-0.21728186;0.0
115.414.605;-0.21978972;0.0
116.051.652;-0.22233738;0.0
116.687.665;-0.22492563;0.0
117.322.610;-0.22755520;0.0
117.956.451;-0.23022673;0.0
118.589.167;-0.23294085;0.0
119.220.715;-0.23569805;0.0
119.851.064;-0.23849882;0.0
120.480.179;-0.24134354;0.0
121.108.032;-0.24423260;0.0
121.734.592;-0.24716629;0.0
122.359.826;-0.25014484;0.0
122.983.694;-0.25316838;0.0
123.606.180;-0.25623709;0.0
124.227.250;-0.25935102;0.0
124.846.866;-0.26251013;0.0
125.465.019;-0.26571446;0.0
126.081.670;-0.26896385;0.0
126.696.808;-0.27225820;0.0
127.310.398;-0.27559727;0.0
127.922.428;-0.27898083;0.0
128.532.882;-0.28240860;0.0
129.141.738;-0.28588021;0.0
129.748.991;-0.28939531;0.0
130.354.625;-0.29295343;0.0
130.958.633;-0.29655410;0.0
131.561.016;-0.30019683;0.0
132.161.764;-0.30388103;0.0
132.760.884;-0.30760612;0.0
133.358.371;-0.31137141;0.0
133.954.241;-0.31517626;0.0
134.548.494;-0.31901992;0.0
135.141.151;-0.32290167;0.0
135.732.227;-0.32682070;0.0
136.321.743;-0.33077619;0.0
136.909.718;-0.33476725;0.0
137.496.175;-0.33879298;0.0
138.081.158;-0.34285252;0.0
138.664.687;-0.34694484;0.0
139.246.797;-0.35106893;0.0
139.827.545;-0.35522384;0.0
140.406.956;-0.35940844;0.0
140.985.091;-0.36362169;0.0
141.561.998;-0.36786248;0.0
142.137.722;-0.37212961;0.0
142.712.334;-0.37642196;0.0
143.285.884;-0.38073828;0.0
143.858.447;-0.38507738;0.0
144.430.087;-0.38943798;0.0
145.000.877;-0.39381879;0.0
145.570.886;-0.39821846;0.0
146.140.197;-0.40263566;0.0
