SIM,Tipo,Configurazione,CL,Cd,Path
incomprimibile,RESULT_LUCA,s1223_wortmannfx082-512,-2.264927,0.336986,incomprimibile/RESULT_LUCA/withNose/s1223_wortmannfx082-512/results.txt
incomprimibile,RESULT_LUCA,s1223_eppler61,-2.310756,0.348261,incomprimibile/RESULT_LUCA/withNose/s1223_eppler61/results.txt
incomprimibile,RESULT_LUCA,naca4412_goe431,-2.377692,0.278343,incomprimibile/RESULT_LUCA/withNose/naca4412_goe431/results.txt
incomprimibile,RESULT_LUCA,be153-076_wortmannfx082-512,-1.990111,0.332592,incomprimibile/RESULT_LUCA/withNose/be153-076_wortmannfx082-512/results.txt
incomprimibile,RESULT_LUCA,naca4412_s1210,-2.450294,0.277979,incomprimibile/RESULT_LUCA/withNose/naca4412_s1210/results.txt
incomprimibile,RESULT_DANI,Eppler_396_Be_092_075,-1.208539819,0.1957182916,incomprimibile/RESULT_DANI/No Naso/Eppler_396_Be_092_075/Result.txt
incomprimibile,RESULT_DANI,Be_183_105_GOE_431,-0.09922792796,0.2259483713,incomprimibile/RESULT_DANI/No Naso/Be_183_105_GOE_431/Result.txt
incomprimibile,RESULT_DANI,Be_183_105_Be_123_076,-0.08793082203,0.2235674205,incomprimibile/RESULT_DANI/No Naso/Be_183_105_Be_123_076/Result.txt
incomprimibile,RESULT_DANI,Be_183_105_Eppler61,-0.1121179634,0.2241760225,incomprimibile/RESULT_DANI/No Naso/Be_183_105_Eppler61/Result.txt
incomprimibile,RESULT_DANI,Be_153_055_Eppler61,-1.117139411,0.2146791564,incomprimibile/RESULT_DANI/No Naso/Be_153_055_Eppler61/Result.txt
incomprimibile,RESULT_DANI,Be_183_105_WortmannFx_082_512,-0.06632960747,0.2164184493,incomprimibile/RESULT_DANI/No Naso/Be_183_105_WortmannFx_082_512/Result.txt
incomprimibile,RESULT_DANI,Be_153_055_S1210,-1.105693024,0.2235559762,incomprimibile/RESULT_DANI/No Naso/Be_153_055_S1210/Result.txt
incomprimibile,RESULT_DANI,Eppler_396_S1210,-1.242343,0.204603,incomprimibile/RESULT_DANI/No Naso/Eppler_396_S1210/Result.txt
incomprimibile,RESULT_DANI,Eppler_396_GOE_431,-1.203316788,0.1952307284,incomprimibile/RESULT_DANI/No Naso/Eppler_396_GOE_431/Result.txt
incomprimibile,RESULT_DANI,Be_153_055_Be_092_075,-1.112736651,0.2216693465,incomprimibile/RESULT_DANI/No Naso/Be_153_055_Be_092_075/Result.txt
incomprimibile,RESULT_DANI,Eppler_396_WortmannFx_082_512,-1.175707236,0.1867947071,incomprimibile/RESULT_DANI/No Naso/Eppler_396_WortmannFx_082_512/Result.txt
incomprimibile,RESULT_DANI,Be_153_055_WortmannFx_082_512,-1.050070051,0.2072841572,incomprimibile/RESULT_DANI/No Naso/Be_153_055_WortmannFx_082_512/Result.txt
incomprimibile,RESULT_DANI,Be_183_105_S1210,-0.08880164815,0.2269329829,incomprimibile/RESULT_DANI/No Naso/Be_183_105_S1210/Result.txt
incomprimibile,RESULT_DANI,Be_183_105_Be_092_075,-0.0914719764,0.2252180251,incomprimibile/RESULT_DANI/No Naso/Be_183_105_Be_092_075/Result.txt
incomprimibile,RESULT_DANI,Eppler_396_Be_123_076,-1.205538735,0.1962500649,incomprimibile/RESULT_DANI/No Naso/Eppler_396_Be_123_076/Result.txt
incomprimibile,RESULT_DANI,Be_153_055_Be_123_076,-1.071355198,0.212896316,incomprimibile/RESULT_DANI/No Naso/Be_153_055_Be_123_076/Result.txt
incomprimibile,RESULT_DANI,Be_153_055_GOE_431,-1.08093602,0.2175654747,incomprimibile/RESULT_DANI/No Naso/Be_153_055_GOE_431/Result.txt
incomprimibile,RESULT_DANI,Eppler_396_Eppler61,-1.24735098,0.192775546,incomprimibile/RESULT_DANI/No Naso/Eppler_396_Eppler61/Result.txt
incomprimibile,RESULT_DANI,Be_183_105_Be_123_076_Naso,-1.116166875,0.3903428634,incomprimibile/RESULT_DANI/Naso/Be_183_105_Be_123_076_Naso/Result.txt
incomprimibile,RESULT_DANI,Be_153_055_S1210_Naso,-2.22688641,0.3179408146,incomprimibile/RESULT_DANI/Naso/Be_153_055_S1210_Naso/Result.txt
incomprimibile,RESULT_DANI,Be_183_105_WortmannFx_082_512_Naso,-1.054553787,0.3639459805,incomprimibile/RESULT_DANI/Naso/Be_183_105_WortmannFx_082_512_Naso/Result.txt
incomprimibile,RESULT_DANI,Eppler_396_S1210_Naso,-2.364638076,0.3105035557,incomprimibile/RESULT_DANI/Naso/Eppler_396_S1210_Naso/Result.txt
incomprimibile,RESULT_DANI,Be_153_055_GOE_431_Naso,-2.223505119,0.3177791156,incomprimibile/RESULT_DANI/Naso/Be_153_055_GOE_431_Naso/Result.txt
