     Alpha       be092         Alpha       naca45008         Alpha       naca5406         Alpha       naca6408         Alpha       naca6508         Alpha       s1210         Alpha       s1223         Alpha       s4083         Alpha       sd7037    
          1.7       0.009461568            1.7       0.008775176            1.7       0.006726192            1.8       0.007833973            1.9       0.007734015            1.7        0.01277525            1.8        0.01595244            1.8       0.007988924            1.7       0.006722884  
          1.8       0.009478425            1.8       0.008836195            1.8       0.006788552            1.9       0.007912046              2        0.00777215            1.8        0.01280349            1.9        0.01603511            1.9       0.008071578            1.8       0.006790516  
          1.9       0.009516994            1.9       0.008915043            1.9       0.006840489              2       0.007975829            2.1       0.007804399            1.9        0.01283775              2        0.01612801              2       0.008172931            1.9       0.006850046  
            2       0.009539697              2       0.008987368              2        0.00690424            2.1        0.00803763            2.2       0.007832337              2        0.01287858            2.1        0.01619656            2.1       0.008248389              2       0.006924353  
          2.1       0.009580295            2.1       0.009015437            2.1       0.006963724            2.2       0.008118107            2.3        0.00786165            2.1        0.01288149            2.2        0.01628222            2.2       0.008273937            2.1       0.006983903  
          2.2       0.009606569            2.2       0.009053161            2.2       0.007028255            2.3        0.00818953            2.4       0.007900358            2.2        0.01290522            2.3        0.01638349            2.3       0.008311629            2.2       0.007063899  
          2.3       0.009643252            2.3       0.009097619            2.3       0.007095913            2.4       0.008250298            2.5        0.00793723            2.3        0.01294124            2.4        0.01649778            2.4       0.008359908            2.3       0.007122958  
          2.4       0.009678714            2.4       0.009149788            2.4       0.007159282            2.5       0.008328687            2.6       0.007969939            2.4        0.01299069            2.5        0.01662554            2.5       0.008416194            2.4       0.007209992  
          2.5       0.009712708            2.5       0.009213445            2.5       0.007237789            2.6       0.008418247            2.7       0.008003048            2.5        0.01305015            2.6        0.01674723            2.6       0.008480367            2.5         0.0072691  
          2.6       0.009757168            2.6       0.009293734            2.6       0.007297926            2.7       0.008472831            2.8        0.00804503            2.6        0.01312047            2.7        0.01688667            2.7        0.00855323            2.6       0.007354768  
          2.7       0.009790857            2.7       0.009392622            2.7       0.007384678            2.8       0.008544149            2.9       0.008084717            2.8        0.01326077            2.8        0.01705056            2.8       0.008636741            2.7        0.00742044  
          2.8       0.009832645            2.8       0.009418574            2.8       0.007444295            2.9       0.008632838              3       0.008121227            2.9        0.01334139            2.9        0.01723999            2.9       0.008741923            2.8       0.007505339  
          2.9       0.009879617            2.9       0.009455517            2.9       0.007524539              3       0.008711646            3.1       0.008159379              3        0.01344108              3         0.0173716              3        0.00885065            2.9       0.007579411  
            3       0.009915775              3       0.009499517              3       0.007600668            3.1       0.008771784            3.2       0.008205562            3.1        0.01356505            3.1        0.01743563            3.1       0.008872609              3       0.007662428  
          3.1        0.00997194            3.1        0.00954995            3.1       0.007672183            3.2       0.008847006            3.3       0.008246775            3.2        0.01372027            3.2        0.01750112            3.2       0.008900347            3.1       0.007744911  
          3.2        0.01001216            3.2       0.009611096            3.3       0.007829808            3.3       0.008938212            3.4       0.008286832            3.3        0.01381172            3.3        0.01756298            3.3       0.008940701            3.2       0.007826385  
          3.3        0.01006567            3.3       0.009685373            3.4       0.007912494            3.4       0.009025775            3.5       0.008332394            3.4        0.01381674            3.4        0.01763613            3.4        0.00899244            3.3       0.007918593  
          3.4        0.01011054            3.4       0.009783133            3.5       0.008004291            3.5       0.009082562            3.6       0.008380726            3.5        0.01383203            3.5        0.01770066            3.5       0.009051738            3.4       0.007997837  
          3.5        0.01016226            3.5       0.009859635            3.6       0.008070145            3.6       0.009155426            3.7       0.008422355            3.6        0.01385122            3.6        0.01777747            3.6       0.009118159            3.5       0.008100012  
          3.7        0.01027623            3.6       0.009892793            3.7       0.008161721            3.7       0.009242188            3.8       0.008462532            3.7        0.01386616            3.7        0.01784602            3.7       0.009193707            3.6       0.008177016  
          3.8        0.01033439            3.7       0.009934919            3.8       0.008243959            3.8       0.009347756            3.9       0.008492693            3.8        0.01389861            3.8        0.01792202            3.8       0.009281851            3.7       0.008284817  
            4         0.0104567            3.8       0.009983172              4       0.008443996            3.9       0.009413205              4       0.008533352            3.9        0.01394267            3.9        0.01799608            3.9       0.009397179            3.8        0.00836571  
          4.1        0.01051629            3.9        0.01003738            4.1       0.008547628              4       0.009475767            4.1       0.008591287              4        0.01396867              4        0.01806437              4       0.009519044            3.9       0.008470116  
          4.2        0.01058639              4        0.01010309            4.2       0.008663055            4.1       0.009553449            4.2       0.008660121            4.1        0.01400321            4.1        0.01812509            4.1       0.009538406              4       0.008563175  
          4.3        0.01064947            4.1        0.01018537            4.3       0.008794712            4.2       0.009644505            4.3       0.008733185            4.2        0.01405707            4.2        0.01815946            4.2       0.009569529            4.1       0.008664273  
          4.4        0.01070723            4.2        0.01029641            4.4       0.008926173            4.3       0.009755911            4.4       0.008820027            4.3        0.01410411            4.3        0.01804226            4.3       0.009610818            4.2       0.008772291  
          4.6        0.01081148            4.3        0.01036444            4.5       0.009060093            4.4       0.009824773            4.5       0.008923016            4.4         0.0141744            4.4        0.01808408            4.4       0.009664215            4.3       0.008868754  
          4.7        0.01070419            4.4        0.01040242            4.6       0.009209042            4.5       0.009887245            4.6       0.009006461            4.5        0.01426229            4.5        0.01819849            4.5       0.009727561            4.5       0.009083048  
          4.8        0.01050138            4.5        0.01044888            4.7        0.00936887            4.6       0.009963019            4.7       0.009115076            4.6        0.01436803            4.6        0.01831436            4.6       0.009799994            4.6       0.009207947  
          4.9        0.01065016            4.6        0.01050145            4.8       0.009538614            4.7        0.01005287            4.8       0.009240901            4.7        0.01449876            4.7        0.01842983            4.7       0.009894122            4.7       0.009311252  
            5        0.01080966            4.7        0.01055978            4.9       0.009722098            4.8        0.01016176            4.9       0.009360422            4.8        0.01464295            4.8        0.01854401            4.8        0.01005624            4.8       0.009430806  
                                           4.8         0.0106298              5       0.009983434            4.9        0.01025901              5       0.009500237            4.9        0.01466009            4.9        0.01865732            4.9        0.01002607            4.9       0.009551965  
                                           4.9        0.01071848                                               5        0.01031105                                               5        0.01466117              5        0.01877025              5        0.01006033              5       0.009665241  
                                             5        0.01084033                                                                                                                                                                                                                                         

