"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         119,      -2.351206224,      -1.844676672,       -1.61525663,     -0.4710467475,      -8.718141173
          0,           0,         120,      -2.333504829,      -1.841253615,       -1.60435017,     -0.4631273042,      -8.722517085
          0,           0,         121,       -2.33229076,      -1.842854083,       -1.60981299,     -0.4590174164,      -8.764544179
          0,           0,         122,      -2.323895942,      -1.838797239,      -1.601180486,     -0.4509338243,      -8.786062554
          0,           0,         123,      -2.341867162,      -1.844859112,      -1.591897601,     -0.4486424234,      -8.788489573
          0,           0,         124,      -2.268411022,      -1.838205161,      -1.571044723,     -0.4247041071,      -8.692845139
          0,           0,         125,      -2.231385186,      -1.823063219,      -1.545969853,     -0.3900541181,      -8.703913629
          0,           0,         126,       -2.23775138,      -1.833088421,      -1.571006024,      -0.412866701,      -8.789327858
          0,           0,         127,      -2.153154496,      -1.802810199,      -1.582988676,     -0.4068755538,      -8.814872354
          0,           0,         128,       -2.28445187,      -1.845722287,      -1.579373728,     -0.4299225519,      -8.803047295
          0,           0,         129,      -2.250394026,      -1.830065554,      -1.620794818,     -0.4408463039,      -8.829060379
          0,           0,         130,      -2.012178475,      -1.579989356,      -1.499169623,     -0.3818915213,      -8.822407892
          0,           0,         131,      -2.176327168,      -1.791573529,      -1.570106861,     -0.4617203312,      -8.832030834
          0,           0,         132,      -2.271876415,      -1.842622749,       -1.58828327,     -0.4708248874,      -8.832797707
          0,           0,         133,       -2.24825131,      -1.839762726,      -1.614243128,      -0.460723267,      -8.821285053
          0,           0,         134,      -2.232885012,       -1.80824691,       -1.59370048,     -0.4425933235,      -8.816266051
          0,           0,         135,       -2.26235559,      -1.808108895,      -1.594591076,     -0.4306914074,       -8.81160134
          0,           0,         136,      -2.241395989,      -1.810322637,      -1.576987619,     -0.3707490116,      -8.810164588
          0,           0,         137,      -2.284650518,      -1.828953386,      -1.582710236,     -0.3581834501,       -8.81712717
          0,           0,         138,      -2.275168474,      -1.835921987,      -1.606832792,      -0.317229238,      -8.826452744
          0,           0,         139,      -2.229254845,      -1.822966751,      -1.542110427,     -0.2586532891,      -8.822495645
          0,           0,         140,      -2.298453396,      -1.838776788,      -1.559983494,     -0.2180381917,      -8.814286832
          0,           0,         141,      -2.333148306,      -1.854788922,      -1.594076246,     -0.1419719824,      -8.783018554
          0,           0,         142,      -2.329475993,      -1.862716638,       -1.60920416,    -0.06919085225,      -8.725359852
          0,           0,         143,      -2.299394598,      -1.833634674,      -1.585834227,     0.03158292406,      -8.667143146
          0,           0,         144,      -2.296440945,      -1.823651268,      -1.394584826,      0.1540114292,      -8.648184133
          0,           0,         145,      -2.281770418,      -1.798082395,      -1.608625267,     0.02988190821,      -8.499464652
          0,           0,         146,      -2.294063798,      -1.796747501,      -1.603431706,    -0.05150385597,      -8.297874573
          0,           0,         147,      -2.300278468,      -1.770588088,      -1.565469504,     -0.1150939638,      -8.063232938
          0,           0,         148,      -2.300029584,      -1.744465601,      -1.559347798,     -0.1146502051,      -7.908201331
          0,           0,         149,      -2.268697173,       -1.72513142,      -1.474831912,    -0.09264428834,       -7.79386557
          0,           0,         150,      -2.267893822,      -1.713673554,      -1.496053019,     -0.1024472468,      -7.964005764
          0,           0,         151,        -2.2659678,      -1.755729865,      -1.478371092,     -0.1324610939,      -8.101994275
          0,           0,         152,       -2.19606654,      -1.763335714,      -1.519859759,     -0.1976066538,      -8.221057389
          0,           0,         153,       -2.24390089,       -1.80807657,      -1.564996672,     -0.2354352687,      -8.301938569
          0,           0,         154,      -2.160724775,      -1.785265432,      -1.592625206,     -0.2410087545,      -8.357739617
          0,           0,         155,      -2.195896297,      -1.781161061,      -1.543971954,     -0.2606443846,      -8.432696038
          0,           0,         156,      -2.159278927,      -1.593402573,      -1.350905276,    -0.08381225967,      -8.458389452
          0,           0,         157,      -2.208403197,      -1.791061821,      -1.527803144,     -0.2207393914,      -8.488250146
          0,           0,         158,       -2.22460356,      -1.809267216,      -1.567536355,    -0.08342764266,      -8.518323828
          0,           0,         159,      -2.177772782,      -1.738146555,      -1.509424823,     0.04627563626,      -8.538350575
          0,           0,         160,      -2.065708253,      -1.533801856,      -1.096371746,      0.1878589316,      -8.568057848
          0,           0,         161,      -2.174149737,      -1.760276141,      -1.451011527,    -0.04677573272,      -8.526025677
          0,           0,         162,      -2.035161873,       -1.53422561,      -1.483564487,     -0.1041288815,      -8.589394924
          0,           0,         163,      -2.039425675,        -1.4313578,      -1.095804024,      0.1796655918,       -8.47874452
          0,           0,         164,      -2.134437777,      -1.632689198,      -1.270326887,    -0.06093187542,      -8.533694297
          0,           0,         165,      -2.081542769,      -1.437399877,      -1.098076226,      0.1351305901,      -8.542404648
